"","ID","ISO","Nendgmt","uuid","best_coord2","lat","lon","level","level_number"
"1",1,"knw","Vulnerable","1_knw","-28.74358, 23.983154","-28.74358"," 23.983154","Vulnerable",1
"2",3,"knw","Vulnerable","3_knw","-19.621892, 20.253296","-19.621892"," 20.253296","Vulnerable",1
"3",10,"taa","Critically Endangered","10_taa","64.558056,-149.090556","64.558056","-149.090556","Critically Endangered",5
"4",14,"hnh","Endangered","14_hnh","-18.575233, 21.983114","-18.575233"," 21.983114","Endangered",3
"5",15,"gnk","Threatened","15_gnk","-22.121346, 22.416744","-22.121346"," 22.416744","Threatened",2
"6",19,"gwj","Threatened","19_gwj","-21.8385, 21.7858","-21.8385"," 21.7858","Threatened",2
"7",24,"huc","Severely Endangered","24_huc","-24.1668, 24.4885","-24.1668"," 24.4885","Severely Endangered",4
"8",27,"aue","Threatened","27_aue","-21.238182, 21.64135","-21.238182"," 21.64135","Threatened",2
"9",28,"aue","Threatened","28_aue","-17.683, 17.4","-17.683"," 17.4","Threatened",2
"10",29,"aas","Dormant","29_aas","-5.1948, 37.738","-5.1948"," 37.738","Dormant",6
"11",30,"abg","Critically Endangered","30_abg","-6.1883, 145.5976","-6.1883"," 145.5976","Critically Endangered",5
"12",31,"abf","Endangered","31_abf","5.587, 118.3695","5.587"," 118.3695","Endangered",3
"13",32,"aau","Threatened","32_aau","-3.97, 141.32","-3.97"," 141.32","Threatened",2
"14",33,"abq","Vulnerable","33_abq","44.1556, 41.9368","44.1556"," 41.9368","Vulnerable",1
"15",36,"abp","Threatened","36_abp","15.619, 120.378","15.619"," 120.378","Threatened",2
"16",37,"bsa","Endangered","37_bsa","-2.92, 138.89","-2.92"," 138.89","Endangered",3
"17",38,"aob","Critically Endangered","38_aob","-8.424996376, 142.9303589","-8.424996376"," 142.9303589","Critically Endangered",5
"18",39,"ado","Threatened","39_ado","-4.24, 144.47","-4.24"," 144.47","Threatened",2
"19",40,"aah","Threatened","40_aah","-3.4, 142.8","-3.4"," 142.8","Threatened",2
"20",41,"abz","Threatened","41_abz","-8.25, 124.666666667","-8.25"," 124.666666667","Threatened",2
"21",42,"kgr","Threatened","42_kgr","-0.52, 132.19","-0.52"," 132.19","Threatened",2
"22",45,"aca","Endangered","45_aca","4.434, -70.8837","4.434"," -70.8837","Endangered",3
"23",46,"guq","Severely Endangered","46_guq","-25.25, -55.1666666667","-25.25"," -55.1666666667","Severely Endangered",4
"24",47,"acz","Vulnerable","47_acz","10.809, 30.2453","10.809"," 30.2453","Vulnerable",1
"25",48,"acr","Vulnerable","48_acr","15.0845, -90.4888","15.0845"," -90.4888","Vulnerable",1
"26",49,"acu","Threatened","49_acu","-2.66667, -76.0","-2.66667"," -76.0","Threatened",2
"27",50,"acu","Threatened","50_acu","-2.876318, -77.586775","-2.876318"," -77.586775","Threatened",2
"28",54,"acv","Critically Endangered","54_acv","41.253032, -120.833954","41.253032"," -120.833954","Critically Endangered",5
"29",55,"kjq","Threatened","55_kjq","34.8964, -107.5816","34.8964"," -107.5816","Threatened",2
"30",56,"ads","Threatened","56_ads","5.859378, -0.197951","5.859378"," -0.197951","Threatened",2
"31",57,"and","Threatened","57_and","-8.195, 124.484","-8.195"," 124.484","Threatened",2
"32",58,"tiu","Threatened","58_tiu","17.817292, 120.936869","17.817292"," 120.936869","Threatened",2
"33",59,"adi","At risk","59_adi","28.526319, 93.115814","28.526319"," 93.115814","NA",NA
"34",61,"adi","At risk","61_adi","29.1473, 94.5538","29.1473"," 94.5538","NA",NA
"35",62,"dth","Dormant","62_dth","-12.887711, 141.717248","-12.887711"," 141.717248","Dormant",6
"36",63,"adt","Endangered","63_adt","-30.83714135, 139.1215397","-30.83714135"," 139.1215397","Endangered",3
"37",64,"adz","Vulnerable","64_adz","-6.39, 146.29","-6.39"," 146.29","Vulnerable",1
"38",65,"aeq","Endangered","65_aeq","25.272921, 69.290285","25.272921"," 69.290285","Endangered",3
"39",66,"aft","Endangered","66_aft","12.13869, 30.181732","12.13869"," 30.181732","Endangered",3
"40",68,"ulf","Threatened","68_ulf","-3.5449, 140.7499","-3.5449"," 140.7499","Threatened",2
"41",69,NA,"Endangered","69_NA","35.36, 53.7","35.36"," 53.7","Endangered",3
"42",70,"avo","Dormant","70_avo","-13.30, -53.44","-13.30"," -53.44","Dormant",6
"43",71,"agx","Vulnerable","71_agx","41.7518, 47.6875","41.7518"," 47.6875","Vulnerable",1
"44",72,"gtu","Dormant","72_gtu","-15.00, 144.00","-15.00"," 144.00","Dormant",6
"45",73,"aif","Endangered","73_aif","-3.49, 142.39","-3.49"," 142.39","Endangered",3
"46",75,"agr","Vulnerable","75_agr","-4.3464, -77.8271","-4.3464"," -77.8271","Vulnerable",1
"47",76,"aug","Threatened","76_aug","7.348379, 1.933201","7.348379"," 1.933201","Threatened",2
"48",77,"wmi","Dormant","77_wmi","-17.83386864, 144.2350367","-17.83386864"," 144.2350367","Dormant",6
"49",78,"ahn","Endangered","78_ahn","7.762, 5.724","7.762"," 5.724","Endangered",3
"50",79,"aht","Critically Endangered","79_aht","62.7547, -144.3164","62.7547"," -144.3164","Critically Endangered",5
"51",82,"tba","Vulnerable","82_tba","-12.651, -60.3918","-12.651"," -60.3918","Vulnerable",1
"52",83,"ymo","Endangered","83_ymo","-3.51, 142.46","-3.51"," 142.46","Endangered",3
"53",84,"ail","Endangered","84_ail","-6.751896, 142.745361","-6.751896"," 142.745361","Endangered",3
"54",85,"aim","Endangered","85_aim","24.4971, 93.6145","24.4971"," 93.6145","Endangered",3
"55",86,"aic","Endangered","86_aic","-3.1, 141.2","-3.1"," 141.2","Endangered",3
"56",88,"aib","Threatened","88_aib","37.887, 77.417","37.887"," 77.417","Threatened",2
"57",91,"ain","Severely Endangered","91_ain","43.0, 143.0","43.0"," 143.0","Severely Endangered",4
"58",92,"ain","Severely Endangered","92_ain","47.3983, 142.2949","47.3983"," 142.2949","Severely Endangered",4
"59",93,"aki","Endangered","93_aki","-5.13, 144.76","-5.13"," 144.76","Endangered",3
"60",94,"mmq","Endangered","94_mmq","-5.405093, 145.175755","-5.405093"," 145.175755","Endangered",3
"61",95,"aio","Threatened","95_aio","26.6523, 94.2901","26.6523"," 94.2901","Threatened",2
"62",97,"nfl","Vulnerable","97_nfl","-10.303377, 166.306967","-10.303377"," 166.306967","Vulnerable",1
"63",99,"aja","Endangered","99_aja","8.6136, 25.2465","8.6136"," 25.2465","Endangered",3
"64",100,"muc","Endangered","100_muc","6.539100, 10.238567","6.539100"," 10.238567","Endangered",3
"65",101,"akq","Severely Endangered","101_akq","-3.6093, 141.6604","-3.6093"," 141.6604","Severely Endangered",4
"66",102,"soh","Endangered","102_soh","11.0112, 34.2333","11.0112"," 34.2333","Endangered",3
"67",103,"akm","Dormant","103_akm","13.270513, 92.837538","13.270513"," 92.837538","Dormant",6
"68",104,"ack","Dormant","104_ack","13.390518, 93.040969","13.390518"," 93.040969","Dormant",6
"69",105,"knj","Vulnerable","105_knj","15.8333333333,-91.83333333","15.8333333333","-91.83333333","Vulnerable",1
"70",106,"knj","Vulnerable","106_knj","16.7823, -93.1061","16.7823"," -93.1061","Vulnerable",1
"71",107,"aik","Threatened","107_aik","8.947480, 8.835342","8.947480"," 8.835342","Threatened",2
"72",108,"aeu","Threatened","108_aeu","22.20, 101.08","22.20"," 101.08","Threatened",2
"73",109,"aeu","Threatened","109_aeu","21.5833, 101.0166","21.5833"," 101.0166","Threatened",2
"74",110,"aeu","Threatened","110_aeu","20.270468, 99.923661","20.270468"," 99.923661","Threatened",2
"75",111,"akv","Threatened","111_akv","42.472, 46.3238","42.472"," 46.3238","Threatened",2
"76",112,"akv","Threatened","112_akv","41.362728,  48.521010","41.362728","  48.521010","Threatened",2
"77",113,"sia","Critically Endangered","113_sia","67.774470, 32.126267","67.774470"," 32.126267","Critically Endangered",5
"78",116,"miw","Endangered","116_miw","-7.633490086, 145.8155365","-7.633490086"," 145.8155365","Endangered",3
"79",117,"aku","Endangered","117_aku","6.86, 9.96","6.86"," 9.96","Endangered",3
"80",118,"aku","Endangered","118_aku","6.73, 9.9316","6.73"," 9.9316","Endangered",3
"81",119,"aqz","Critically Endangered","119_aqz","-10.9, -63.6","-10.9"," -63.6","Critically Endangered",5
"82",120,"ako","Dormant","120_ako","2.8442, -55.7556","2.8442"," -55.7556","Dormant",6
"83",121,"akz","Endangered","121_akz","30.7158, -94.7028","30.7158"," -94.7028","Endangered",3
"84",123,"dul","Severely Endangered","123_dul","14.1209, 122.0282","14.1209"," 122.0282","Severely Endangered",4
"85",124,NA,"Threatened","124_NA","43.59, 46.66","43.59"," 46.66","Threatened",2
"86",126,"ala","Vulnerable","126_ala","8.492577, 8.518839","8.492577"," 8.518839","Vulnerable",1
"87",127,"wbj","Threatened","127_wbj","-5.5, 35.75","-5.5"," 35.75","Threatened",2
"88",128,"amp","Threatened","128_amp","-4.66, 143.32","-4.66"," 143.32","Threatened",2
